m,w,Date_Time
28.697505039562596,"[29.404716891407574, 28.916795603692048, 27.801190705399584, 29.3080141223738, 27.861126124767736, 27.659688602585547, 26.556813094279835, 29.77595693696661, 29.86639649817091, 29.824351815982315]",2026-05-18 13:16:36.374326
25.098912289573615,"[26.419805423010096, 25.1697735270443, 26.166551454572026, 26.457239688324222, 23.53765695714806, 24.25377938198377, 24.708470872604035, 24.013515770525345, 23.239690643927357, 27.022639176596943]",2026-05-18 13:21:36.056236
26.330746087234886,"[26.133785598797463, 26.38295108434685, 27.761726696807386, 26.277433430219745, 25.77182437965246, 24.964943433954474, 26.195402805453167, 25.336067494183336, 26.57209416153045, 27.91123178740353]",2026-05-18 13:25:36.082339
26.797966893147354,"[26.592507579641325, 23.74962014804368, 22.646947614065773, 29.023560100118534, 28.22465314587011, 28.740845857815902, 28.293983376982478, 27.377757261261596, 27.642870729710104, 25.68692311796404]",2026-05-18 13:28:32.336237
27.335326927850165,"[27.00135586850975, 27.36470891161686, 28.275483716819497, 28.02341859801572, 28.795213981335642, 27.287839634043088, 26.6785686946315, 25.099370431627808, 28.05473463716309, 26.772574804738696]",2026-05-18 13:37:40.379624
28.077725829237117,"[28.89516433961433, 26.55953874953896, 28.88026022468678, 29.73011373521477, 28.941529475351956, 27.909839963441424, 27.877915001310637, 27.475039956946244, 27.308195059488877, 27.19966178677721]",2026-05-18 14:01:00.670068
26.090766639835394,"[25.684864378353428, 26.80128117395712, 25.480527222916844, 25.974537740466587, 25.781770121715006, 26.366452171129392, 26.349025375270536, 26.03600996545957, 25.928172604728953, 26.5050256443565]",2026-05-18 14:09:36.791056
26.01310866201643,"[27.147874336853874, 26.48081370668238, 26.169567073156585, 27.294421801530543, 25.114071572227544, 26.629419910969663, 24.87250312580465, 25.521673018796584, 25.172905130959037, 25.727836943183426]",2026-05-18 14:10:27.809861
21.873557432455943,"[21.234884211844886, 21.124292199522603, 19.234050277320925, 24.012674876881572, 22.96648719869911, 22.39775313218384, 22.597363885415774, 21.198058869514185, 22.411874346132702, 21.558135327043836]",2026-05-18 14:15:00.185620
19.49508106214726,"[17.234724152089242, 17.405918499428193, 16.700524717633716, 18.034414007316354, 21.205191967319973, 20.967972970778657, 20.87161815773541, 21.156797088304273, 19.38259848894312, 21.99105057192366]",2026-05-18 14:28:36.184032
17.801933011512702,"[20.651159041404444, 18.350387043046794, 15.866648186337391, 17.013366149449418, 17.694866953227756, 18.145527953624423, 18.18681873116688, 17.840457538930476, 17.295007527447925, 16.975090990491523]",2026-05-18 14:43:01.452241
21.39713898986056,"[22.765861573828143, 20.58095892031576, 21.77537585046243, 22.213568427865244, 21.734143065585066, 21.83626814880454, 21.691025519092346, 20.684678801825147, 20.66652709765269, 20.022982493174265]",2026-05-18 14:59:27.291610
22.513834150256674,"[22.276461473152875, 17.970767057382584, 19.913028400167946, 21.15267960908304, 22.72639756523595, 24.286603230423417, 24.14324536232657, 24.587092224575436, 24.032508368341574, 24.04955821187736]",2026-05-18 15:04:09.474589
21.340454059370572,"[21.69810062423305, 20.002569075063388, 22.67249338303691, 24.757242703942804, 20.31749824282225, 20.781062611200937, 20.946225721370762, 20.256692933477773, 20.824383132021463, 21.148272166536376]",2026-05-18 15:23:18.685381
21.694693555159144,"[22.391518920686913, 23.385397214960253, 21.585333886969973, 23.378061142826656, 21.459924748717782, 21.14989596115883, 20.382305046057777, 20.640488391028303, 21.2629236654148, 21.31108657377015]",2026-05-18 15:39:46.125928
19.004564602669053,"[22.157083572069805, 19.06598753389671, 9.418501747898926, 15.659063441655901, 23.285649831009373, 18.93205347387662, 19.199428656263557, 20.90505092915848, 20.654261648986637, 20.768565191874533]",2026-05-18 15:54:15.181203
30.84548376321363,"[33.79380475957401, 31.62319729800575, 29.117682195555908, 31.40557982226408, 31.577673055911887, 31.45884608514715, 30.5939434780289, 30.422662141692317, 29.213167118622835, 29.248281677333452]",2026-05-19 14:04:31.601524
28.840320676240868,"[31.06556882685478, 30.82284052713013, 30.610297409583637, 30.405873265149424, 27.502151527874755, 27.85512388393116, 28.66667323916871, 29.994270324689335, 24.391250994574207, 27.089156763452557]",2026-05-19 14:27:50.762392
27.109819550023314,"[28.295752153267657, 26.49922637784773, 26.779997865869923, 26.981290406389398, 26.374310177248784, 28.116583814479146, 27.25977118414063, 25.277900851100352, 27.2270923173637, 28.28627035252581]",2026-05-19 14:57:22.445383
26.88691894249215,"[27.70556080066993, 26.836569710662996, 27.20635993959484, 28.13209685239011, 27.705299833677035, 27.088779811129488, 25.657839796422547, 25.68144281111325, 26.110791507090184, 26.744448362171152]",2026-05-19 15:21:41.267026
26.313554161669632,"[27.090055649761418, 26.996803444300365, 27.738355652777038, 29.842619505484947, 26.702867621303255, 26.619445172574572, 23.897008506364116, 23.162183447037616, 25.491951777939125, 25.59425083915386]",2026-05-19 15:56:13.372752
27.734806501673667,"[28.616538580200377, 27.939967152954495, 28.598821821016077, 29.57011197223775, 28.62259881370204, 27.791476933997387, 28.198643435578266, 25.963809097425358, 25.62321817536518, 26.422879034259747]",2026-05-19 16:32:14.795577
26.97556653034524,"[26.833206136087906, 26.67146459315826, 27.39002270992765, 28.25883982193932, 27.365810772253525, 26.20166601328264, 25.63020629150825, 25.959662621871587, 28.115018012521777, 27.32976833090151]",2026-05-19 16:43:11.648783
27.259681295509743,"[28.872170247907043, 26.612312074768784, 26.220194669778166, 27.610974763911862, 27.633214950973002, 27.190846901683873, 27.255102774601067, 27.05363625608633, 27.418149152495193, 26.730211162892118]",2026-05-20 14:15:07.799732
27.131871260922917,"[28.110407595647303, 27.541876503459843, 26.937013006594924, 28.850857943487306, 27.588183646532386, 26.524859135816502, 27.170578465235714, 24.410243592390433, 27.250492357726596, 26.93420036233817]",2026-05-20 14:21:07.981447
27.68816590077687,"[28.950402353110377, 28.251010812152476, 27.575860205201245, 30.289221019325478, 28.822238563266517, 27.664125041464757, 27.667372630709668, 26.054915574278166, 26.030239695283342, 25.57627311297667]",2026-05-20 14:52:17.250297
27.58348624066028,"[28.41205644310108, 27.137406660805542, 27.260148136463698, 28.74020793849994, 27.00651721570256, 26.486033046540275, 27.381932733147913, 26.943102236429137, 28.130096105444583, 28.337361890468095]",2026-05-20 15:31:25.305549
25.86405591420797,"[26.35169303786457, 24.76307096678412, 25.70922129769027, 26.353084861826673, 26.119055461865184, 25.907005281971937, 26.431432952360186, 25.15927685466342, 25.89668258758632, 25.950035839467024]",2026-05-20 16:19:53.403772
25.24846667393508,"[25.8023285214886, 24.1332126312664, 23.90150293790841, 25.90161196411878, 23.571582666224376, 23.579005727355604, 25.563195766999392, 26.16710238489036, 26.694458684865538, 27.170665454233347]",2026-05-20 16:45:48.430677
30.132052198037993,"[32.341088499126634, 30.743854517280653, 30.065833273407577, 31.335060741517413, 31.750433205208207, 29.134645050094065, 29.781466240149946, 28.707935020378624, 28.52444622804108, 28.935759205175728]",2026-05-22 12:44:24.631604
29.97038894520621,"[30.915454813275215, 30.34930142035635, 29.892522193792928, 32.06771107590312, 29.819567421112577, 29.220358209093714, 29.6971449051124, 29.605545490606346, 29.12545321267766, 29.01083071013178]",2026-05-22 13:13:19.654267
22.643497050493053,"[23.32972425647604, 22.44971456010244, 16.552150484006784, 21.998415640389805, 25.101748130896404, 23.69017766632876, 22.644337944136826, 23.31571902785736, 23.46374530549376, 23.88923748924236]",2026-05-22 13:37:52.714957
22.5707713488398,"[23.787837314336482, 20.280701896824088, 20.223840088705582, 23.071163959182442, 22.429417127321738, 22.831828230365424, 23.270948690409636, 23.156471169526476, 22.99339579529981, 23.66210921642631]",2026-05-22 14:31:14.429584
23.00556555606847,"[23.891992140834027, 22.522727325447875, 15.96346694070134, 20.188725529994965, 22.6737402253363, 24.4847931633607, 25.599209212018867, 25.506362955213422, 24.66689013173614, 24.557747936041046]",2026-05-25 12:27:46.744332
22.60708635571773,"[22.32471137050586, 21.399409402698748, 20.07990229395786, 23.372145890987706, 24.444372275794557, 23.33001421980148, 22.520378622511824, 23.0364263527949, 22.745506148382354, 22.817996979742002]",2026-05-25 12:35:45.207841
21.415803929119043,"[22.853546483440777, 21.917979813913135, 14.45716545771291, 18.711014430894778, 24.132052777964642, 22.225543913205858, 21.850795311409012, 22.240013083145243, 21.58507291997708, 24.184855099527013]",2026-05-25 13:04:44.403075
20.59630957876448,"[20.725534634379446, 19.840392587145576, 14.734051437174225, 19.257189350690926, 20.968465908431902, 23.68826390838087, 23.07406359243683, 21.75536838100717, 21.978060214944016, 19.941705773053823]",2026-05-25 13:23:58.025045
25.332039903592992,"[24.84072314533658, 24.41917446281394, 24.35372974026245, 26.330322740779746, 26.864435186237646, 26.950496301227822, 24.974802187019385, 27.077268267109577, 22.78801477189165, 24.72143223325114]",2026-05-25 14:40:52.010242
28.035921816608635,"[24.918520305551752, 27.182437965246155, 27.119196963967998, 29.337474396238363, 28.845000684313447, 27.666299766405544, 29.570604909890996, 29.798139131362664, 28.10898677535265, 27.812557267756773]",2026-05-26 13:17:04.043614
28.00875515264829,"[27.180031269645013, 28.465641665642128, 25.428420813335528, 28.434644586152743, 27.52526160491221, 28.36038497850792, 29.199364864331958, 27.08434337225028, 29.118175133209153, 29.291283238495996]",2026-05-26 13:37:03.903924
26.106053506352517,"[27.643682627021334, 26.0493192820972, 26.608455562540453, 27.909694981778706, 28.36363256775283, 27.591228261449494, 25.943743635305008, 23.339669998538586, 22.766325515148843, 24.844782631892716]",2026-05-26 14:13:59.891921
24.04184808705395,"[24.057010269341134, 24.677618774777365, 23.566914256684814, 27.803046470682386, 22.714567061558057, 23.816311712894553, 24.75074752545298, 22.3960713448963, 23.667473537946922, 22.968719916304984]",2026-05-26 14:35:42.710645
26.911394746792425,"[27.02945331474475, 26.063411499713514, 24.08273001630754, 26.10560116356483, 26.960210072630016, 24.296374994490698, 28.684534980015727, 29.872514724337666, 27.722059713887386, 28.29705698823213]",2026-05-26 15:51:55.997049
27.655408743902072,"[27.89290610523581, 27.617904887389845, 27.185047635175103, 27.16332938209975, 26.581604958604835, 27.990130808255373, 29.522876946523805, 28.706456207418885, 27.24130052031019, 26.652529988007117]",2026-05-26 16:17:34.999763
26.01254033389857,"[27.002138769488436, 25.910078893221588, 27.08103779034028, 27.045720257301856, 26.516102243388257, 25.762458564240795, 25.57131474011167, 25.26810009070053, 24.22805963501736, 25.74039235517492]",2026-05-26 16:21:58.930009
27.39783142228171,"[25.935421687864917, 25.764169347860882, 24.270046324540875, 22.108282744398487, 31.286636866169165, 28.743716494737747, 27.74279209165625, 28.637850884620114, 29.47874452839205, 30.010653252576613]",2026-05-26 16:46:24.441090
27.367814418832307,"[27.10585865099782, 25.346825133557108, 25.736912795269653, 27.46306447160563, 27.688829916792123, 26.113256195356414, 27.631214204027472, 25.85431894573974, 30.990526318231268, 29.747337556745823]",2026-05-26 17:06:43.346511
24.851808443268094,"[24.57337695928219, 22.522495354787527, 22.467808271609805, 24.44364736748096, 24.863978204036755, 25.020964348429214, 25.737289747592722, 25.122799468323247, 27.32550587001756, 26.440218841120977]",2026-05-26 17:46:15.019674
25.398021058296546,"[23.998988607920868, 23.68014493526859, 25.411428962464825, 25.80244450681878, 26.951888125189924, 26.036270932452464, 25.57116975844895, 25.22686730582316, 25.828222246450267, 25.472785202127636]",2026-05-26 18:09:43.486597
26.481321142501898,"[26.008144489884916, 24.870154422868595, 25.721138790365796, 27.194906388240014, 28.311149205848444, 25.480295252256493, 25.948093085186585, 26.834742941712733, 27.3683044568523, 27.076282391803083]",2026-05-27 12:31:46.911775
25.958815928961304,"[25.70922129769027, 24.988604441310265, 22.96379053977253, 26.57360197082273, 27.884700143125897, 26.70611521054817, 25.694143204767464, 25.281583385333423, 26.504822670028695, 27.28157642621361]",2026-05-27 12:51:14.527874
23.444451145819077,"[22.74660800901902, 23.50242641310727, 23.82086413710394, 25.118508011106755, 23.390239602495075, 21.48880509593147, 21.661797215888132, 23.34459937507104, 24.757300696607892, 24.613362901860175]",2026-05-27 13:13:13.590525
26.142400409196245,"[25.60654528415246, 26.55640714562422, 25.57325749439211, 26.47640626413571, 25.844866141330446, 26.33388928968264, 26.070080656198606, 26.512709672480625, 25.27334842689097, 27.176493717074663]",2026-05-27 13:41:29.070875
