Date_Time,amount_consumed,latency_to_consumption,Type
2026-03-20 12:15:58.184447,,,initialize
2026-03-20 12:23:55.043739,,,initialize
2026-03-23 12:16:46.010910,,,initialize
2026-03-23 12:58:03.156157,,,initialize
2026-03-24 12:22:43.576530,,,initialize
2026-03-24 13:02:07.356818,,,initialize
2026-03-25 12:20:53.877762,,,initialize
2026-03-25 13:35:24.961116,,,initialize
2026-03-26 12:18:28.040775,,,initialize
2026-03-26 13:15:20.192186,,,initialize
2026-03-26 18:26:32.640387,,,initialize
2026-03-30 14:11:39.083844,,,initialize
2026-03-30 15:24:08.698873,,,initialize
2026-04-01 12:58:48.994020,,,initialize
2026-04-03 12:44:15.349238,,,initialize
2026-04-03 13:55:24.013705,,,initialize
2026-04-03 14:54:43.075448,,,initialize
2026-04-03 15:06:47.813682,,,initialize
2026-04-06 12:48:22.379460,,,initialize
2026-04-06 13:32:25.047335,,,initialize
2026-04-06 14:09:48.665449,,,initialize
2026-04-06 14:52:37.039048,,,initialize
2026-04-07 16:13:19.316664,,,initialize
2026-04-07 16:16:47.834514,,,block_start
2026-04-07 16:17:05.835759,,,start
2026-04-07 16:19:48.029197,,,drink
2026-04-07 16:19:51.137072,,,start
2026-04-07 16:19:52.944461,,,drink
2026-04-07 16:19:54.754296,,,start
2026-04-07 16:19:59.188670,,,exit
2026-04-07 16:20:15.303395,,,block_end
2026-04-08 13:30:57.933260,,,initialize
2026-04-08 14:42:08.941104,,,initialize
2026-04-10 12:50:50.500649,,,initialize
2026-04-10 13:00:22.793733,,,initialize
2026-04-10 13:03:33.685952,,,initialize
2026-04-10 13:31:18.788481,,,initialize
2026-04-10 16:22:58.749082,,,initialize
2026-04-11 13:38:38.268414,,,initialize
2026-04-11 13:51:13.366257,,,block_start
2026-04-11 13:51:21.222954,,,start
2026-04-11 13:51:31.055090,,,drink
2026-04-11 13:51:35.127684,,,start
2026-04-11 13:51:38.138806,,,drink
2026-04-11 13:51:41.727458,,,start
2026-04-11 13:51:49.887964,,,eat
2026-04-11 13:51:57.520781,,,start
2026-04-11 13:52:45.496747,,,exit
2026-04-11 13:52:50.095802,,,block_end
2026-04-11 14:22:32.641959,,,initialize
2026-04-11 15:55:55.214889,,,initialize
2026-04-12 13:03:40.157799,,,initialize
2026-04-12 13:05:41.014322,,,block_start
2026-04-12 13:05:43.101230,,,start
2026-04-12 13:05:43.104836,,,start
2026-04-12 13:05:48.270846,,,drink
2026-04-12 13:05:50.933528,,,start
2026-04-12 13:05:53.253673,,,drink
