Date_Time,amount_consumed,latency_to_consumption,Type
2026-03-13 15:19:43.995940,,,initialize
2026-03-13 15:24:51.258659,,,initialize
2026-03-13 15:25:05.880070,,,block_start
2026-03-13 15:25:19.906619,,,start
2026-03-13 15:25:19.962920,,,start
2026-03-13 15:25:19.964706,,,start
2026-03-13 15:25:20.223964,,,exit
2026-03-13 15:25:35.336465,,,block_end
2026-03-13 15:26:31.068587,,,block_start
2026-03-13 15:26:56.678314,,,start
2026-03-13 15:27:28.967947,,,drink
2026-03-13 15:27:40.184896,,,start
2026-03-13 15:28:27.462209,,,drink
2026-03-13 15:28:30.750372,,,start
2026-03-13 15:29:08.804102,,,exit
2026-03-13 15:29:21.920864,,,block_end
2026-03-13 15:30:45.201641,,,block_start
2026-03-13 15:30:54.841935,,,start
2026-03-13 15:30:54.843770,,,start
2026-03-13 15:31:21.137427,,,exit
2026-03-13 15:31:25.232851,,,block_end
2026-03-13 15:31:44.383769,,,block_start
2026-03-13 15:31:54.395856,,,start
2026-03-13 15:32:28.535037,,,exit
2026-03-13 15:32:41.145006,,,block_end
2026-03-13 15:34:31.481255,,,block_start
2026-03-13 15:34:37.929199,,,start
2026-03-13 15:34:58.382879,,,drink
2026-03-13 15:35:19.200826,,,start
2026-03-13 15:37:19.406531,,,drink
2026-03-13 15:37:23.725776,,,start
2026-03-13 15:38:16.460081,,,drink
2026-03-13 15:38:26.158648,,,start
2026-03-13 15:39:00.648224,,,exit
2026-03-13 15:39:05.241907,,,block_end
2026-03-13 15:41:00.087542,,,block_start
2026-03-13 15:41:03.121200,,,start
2026-03-13 15:41:03.123199,,,start
2026-03-13 15:41:53.135601,,,drink
2026-03-13 15:41:56.714598,,,start
2026-03-13 15:42:22.614030,,,exit
2026-03-13 15:43:04.277980,,,block_end
2026-03-13 15:43:15.912625,,,block_start
2026-03-13 15:43:18.718973,,,start
2026-03-13 15:43:18.720515,,,start
2026-03-13 15:44:56.642694,,,drink
2026-03-13 15:45:38.559254,,,start
2026-03-13 15:47:18.706702,,,drink
2026-03-13 15:47:30.225913,,,start
2026-03-13 15:48:06.361952,,,drink
2026-03-13 15:48:11.489767,,,start
2026-03-13 15:48:26.837588,,,drink
2026-03-13 15:49:01.859630,,,start
2026-03-13 15:50:15.603055,,,drink
2026-03-13 15:50:28.240367,,,start
2026-03-13 18:24:19.000206,,,initialize
2026-03-16 12:43:06.479201,,,initialize
2026-03-16 12:55:50.843772,,,initialize
2026-03-16 12:59:04.319415,,,block_start
2026-03-16 12:59:10.818335,,,start
2026-03-16 12:59:29.739610,,,drink
2026-03-16 12:59:34.393482,,,start
2026-03-16 13:00:27.320967,,,exit
2026-03-16 13:00:33.922335,,,block_end
2026-03-16 13:22:09.623715,,,block_start
2026-03-16 13:22:22.395054,,,start
2026-03-16 13:24:10.960054,,,exit
2026-03-16 13:24:21.066415,,,block_end
2026-03-16 13:25:14.286566,,,block_start
2026-03-16 13:25:17.369531,,,start
2026-03-16 13:26:34.673679,,,exit
2026-03-16 13:26:39.770867,,,block_end
2026-03-16 13:33:28.914767,,,initialize
2026-03-16 13:34:45.652005,,,block_start
2026-03-16 13:37:56.194138,,,initialize
2026-03-16 13:47:51.467202,,,block_start
2026-03-16 13:47:53.795761,,,start
2026-03-16 13:48:22.388568,,,drink
2026-03-16 13:48:31.552088,,,start
2026-03-16 13:50:28.584774,,,exit
2026-03-16 13:50:31.673434,,,block_end
2026-03-16 13:52:27.523209,,,block_start
2026-03-16 13:52:31.020085,,,start
2026-03-16 13:52:42.027167,,,drink
2026-03-16 13:52:47.636519,,,start
2026-03-16 13:53:17.260965,,,exit
2026-03-16 13:53:20.856315,,,block_end
2026-03-16 13:57:19.918433,,,initialize
2026-03-17 09:28:51.400967,,,initialize
2026-03-17 12:34:06.781790,,,initialize
2026-03-17 12:35:43.559145,,,block_start
2026-03-17 12:35:49.011007,,,start
2026-03-17 12:35:51.241220,,,drink
2026-03-17 12:35:52.743099,,,start
2026-03-17 12:36:48.532350,,,drink
2026-03-17 12:36:51.209270,,,start
2026-03-17 12:36:53.790320,,,exit
2026-03-17 12:36:58.886430,,,block_end
2026-03-17 12:37:30.560008,,,block_start
2026-03-17 12:37:34.149629,,,start
2026-03-17 12:38:03.062554,,,exit
2026-03-17 12:38:06.157336,,,block_end
2026-03-17 12:38:42.348359,,,block_start
2026-03-17 12:38:44.551856,,,start
2026-03-17 12:38:57.237816,,,exit
2026-03-17 12:39:11.357261,,,block_end
2026-03-17 12:41:37.271064,,,block_start
2026-03-17 12:41:42.902481,,,start
2026-03-17 12:42:20.794544,,,exit
2026-03-17 12:42:23.887862,,,block_end
2026-03-17 12:42:51.557071,,,block_start
2026-03-17 12:43:00.564865,,,start
2026-03-17 12:43:00.566461,,,start
2026-03-17 12:44:45.057732,,,exit
2026-03-17 12:44:47.654268,,,block_end
2026-03-17 12:48:03.161220,,,block_start
2026-03-17 12:48:11.210762,,,start
2026-03-17 12:49:31.663332,,,exit
2026-03-17 12:49:33.756376,,,block_end
2026-03-17 12:49:38.878214,,,block_start
2026-03-17 12:49:40.780211,,,start
2026-03-17 12:50:21.367172,,,exit
2026-03-17 12:50:25.968299,,,block_end
2026-03-17 12:51:39.235392,,,block_start
2026-03-17 12:51:45.366535,,,start
2026-03-17 12:53:55.178074,,,exit
2026-03-17 12:53:59.275795,,,block_end
2026-03-17 12:55:05.024184,,,block_start
2026-03-17 12:55:10.038373,,,start
2026-03-17 12:57:02.979354,,,exit
2026-03-17 12:57:06.075807,,,block_end
2026-03-17 12:58:09.814748,,,block_start
2026-03-17 12:58:18.698449,,,start
2026-03-17 12:59:43.805284,,,exit
2026-03-17 13:00:00.425893,,,block_end
2026-03-17 13:00:04.554220,,,block_start
2026-03-17 13:00:09.291683,,,start
2026-03-17 13:00:44.592539,,,drink
2026-03-17 13:01:05.256008,,,start
2026-03-17 13:01:43.357779,,,exit
2026-03-17 13:01:46.453864,,,block_end
2026-03-17 13:02:04.610706,,,block_start
2026-03-17 13:02:10.819469,,,start
2026-03-17 13:02:10.821134,,,start
2026-03-17 13:03:00.380732,,,exit
2026-03-17 13:03:02.473348,,,block_end
2026-03-17 13:03:27.643943,,,block_start
2026-03-17 13:03:29.559125,,,start
2026-03-17 13:03:29.561265,,,start
2026-03-17 13:04:09.773363,,,exit
2026-03-17 13:04:25.886903,,,block_end
2026-03-17 13:05:19.110745,,,block_start
2026-03-17 13:05:23.511726,,,start
2026-03-17 13:05:57.751791,,,drink
2026-03-17 13:06:05.077188,,,start
2026-03-17 13:06:43.188037,,,exit
2026-03-17 13:06:51.287418,,,block_end
2026-03-17 13:08:05.548806,,,block_start
2026-03-17 13:08:07.726136,,,start
2026-03-17 13:10:06.131394,,,exit
2026-03-17 13:10:08.221371,,,block_end
2026-03-17 13:11:44.532340,,,block_start
2026-03-17 13:11:46.531879,,,start
2026-03-17 13:11:46.533476,,,start
2026-03-17 13:12:11.201804,,,exit
2026-03-17 13:12:14.792966,,,block_end
2026-03-17 13:12:44.965492,,,block_start
2026-03-17 13:12:49.684379,,,start
2026-03-17 13:13:21.297363,,,exit
2026-03-17 13:13:23.894294,,,block_end
2026-03-17 13:14:45.675690,,,block_start
2026-03-17 13:14:48.199580,,,start
2026-03-17 13:15:03.832947,,,drink
2026-03-17 13:15:07.887096,,,start
2026-03-17 13:17:27.567460,,,exit
2026-03-17 13:17:35.166934,,,block_end
2026-03-17 13:19:25.500480,,,block_start
2026-03-17 13:19:27.245406,,,start
2026-03-17 13:19:27.246972,,,start
2026-03-17 13:20:50.260710,,,drink
2026-03-17 13:20:53.538558,,,start
2026-03-17 13:21:56.062355,,,exit
2026-03-17 13:21:59.151485,,,block_end
2026-03-17 13:22:37.347642,,,block_start
2026-03-17 13:22:40.411074,,,start
2026-03-17 13:25:44.913163,,,initialize
2026-03-18 12:41:24.923940,,,initialize
2026-03-18 12:45:54.966745,,,block_start
2026-03-18 12:45:58.856418,,,start
2026-03-18 12:48:14.709373,,,exit
2026-03-18 12:48:18.798927,,,block_end
2026-03-18 12:49:00.496663,,,block_start
2026-03-18 12:49:04.527478,,,start
2026-03-18 12:50:22.155262,,,exit
2026-03-18 12:50:25.742476,,,block_end
2026-03-18 12:52:51.645242,,,block_start
2026-03-18 12:52:55.422681,,,start
2026-03-18 12:54:43.726892,,,exit
2026-03-18 12:54:45.813415,,,block_end
2026-03-18 12:55:14.486833,,,block_start
2026-03-18 12:55:16.903127,,,start
2026-03-18 12:57:18.594463,,,exit
2026-03-18 12:57:21.689329,,,block_end
2026-03-18 12:58:37.453327,,,block_start
2026-03-18 12:58:42.240559,,,start
2026-03-18 12:58:42.242758,,,start
2026-03-18 12:59:13.153479,,,drink
2026-03-18 12:59:18.773593,,,start
2026-03-18 13:02:18.776476,,,exit
2026-03-18 13:02:20.862017,,,block_end
2026-03-18 13:04:19.212201,,,block_start
2026-03-18 13:04:21.416276,,,start
2026-03-18 13:04:21.417773,,,start
2026-03-18 13:05:00.741777,,,exit
2026-03-18 13:05:17.858399,,,block_end
2026-03-18 13:06:17.090893,,,block_start
2026-03-18 13:06:21.185532,,,start
2026-03-18 13:07:55.348200,,,exit
2026-03-18 13:07:56.938865,,,block_end
2026-03-18 13:09:15.205279,,,block_start
2026-03-18 13:09:16.866385,,,start
2026-03-18 13:09:16.868196,,,start
2026-03-18 13:10:00.937130,,,exit
2026-03-18 13:10:03.022944,,,block_end
2026-03-18 13:10:26.687570,,,block_start
2026-03-18 13:10:32.983896,,,start
2026-03-18 13:12:47.716448,,,exit
2026-03-18 13:12:49.302414,,,block_end
2026-03-18 13:15:43.261612,,,block_start
2026-03-18 13:15:45.930669,,,start
2026-03-18 13:18:29.353221,,,exit
2026-03-18 13:18:30.940879,,,block_end
2026-03-18 13:20:29.789169,,,block_start
2026-03-18 13:20:32.245916,,,start
2026-03-18 13:26:19.574768,,,exit
2026-03-18 13:26:21.161907,,,block_end
2026-03-18 13:27:18.894270,,,block_start
2026-03-18 13:27:20.647189,,,start
2026-03-18 13:27:20.650409,,,start
2026-03-18 13:28:49.301265,,,exit
2026-03-18 13:28:59.402925,,,block_end
2026-03-18 13:29:23.571060,,,block_start
2026-03-18 13:29:26.016290,,,start
2026-03-18 13:30:37.454463,,,drink
2026-03-18 13:30:45.560777,,,start
2026-03-18 13:31:11.417030,,,exit
2026-03-18 13:31:13.513289,,,block_end
2026-03-18 13:35:00.922479,,,initialize
2026-03-19 12:19:44.978254,,,initialize
2026-03-19 12:21:53.325048,,,block_start
2026-03-19 12:21:55.757609,,,start
2026-03-19 12:21:55.759896,,,start
2026-03-19 12:22:35.951092,,,drink
2026-03-19 12:22:55.473178,,,start
2026-03-19 12:25:44.554575,,,exit
2026-03-19 12:25:52.151066,,,block_end
2026-03-19 12:27:51.003754,,,block_start
2026-03-19 12:27:54.321133,,,start
2026-03-19 12:37:17.972675,,,drink
2026-03-19 12:37:22.835189,,,start
2026-03-19 12:42:00.499768,,,exit
2026-03-19 12:42:04.590402,,,block_end
2026-03-19 12:43:25.865272,,,block_start
2026-03-19 12:43:28.241026,,,start
2026-03-19 12:44:04.308182,,,drink
2026-03-19 12:44:13.123810,,,start
2026-03-19 12:45:07.274434,,,drink
2026-03-19 12:45:12.342062,,,start
2026-03-19 12:45:20.096818,,,start
2026-03-19 12:46:12.684458,,,exit
2026-03-19 12:46:14.275779,,,block_end
2026-03-19 12:48:31.167230,,,block_start
2026-03-19 12:48:33.991065,,,start
2026-03-19 12:50:33.528491,,,exit
2026-03-19 12:50:35.624294,,,block_end
2026-03-19 12:53:07.540470,,,block_start
2026-03-19 12:53:10.021899,,,start
2026-03-19 12:56:15.182666,,,drink
2026-03-19 12:56:20.693271,,,start
2026-03-19 12:56:42.789933,,,start
2026-03-19 12:56:50.081167,,,exit
2026-03-19 12:57:36.253456,,,block_end
2026-03-19 13:01:38.347716,,,block_start
2026-03-19 13:01:44.095176,,,start
2026-03-19 13:01:49.846608,,,drink
2026-03-19 13:02:07.460321,,,start
2026-03-19 13:03:32.151942,,,drink
2026-03-19 13:03:43.838990,,,start
2026-03-19 13:04:10.470187,,,drink
2026-03-19 13:04:43.478101,,,start
2026-03-19 13:04:46.911516,,,exit
2026-03-19 13:04:48.500424,,,block_end
2026-03-19 13:09:45.339140,,,initialize
2026-03-20 12:24:01.889705,,,initialize
2026-03-20 12:34:29.733498,,,block_start
2026-03-20 12:34:35.323608,,,start
2026-03-20 12:34:40.415715,,,drink
2026-03-20 12:34:52.632686,,,start
2026-03-20 12:39:03.033033,,,exit
2026-03-20 12:39:04.620939,,,block_end
2026-03-20 12:39:59.851685,,,block_start
2026-03-20 12:40:03.367511,,,start
2026-03-20 12:41:28.848027,,,exit
2026-03-20 12:41:30.439525,,,block_end
2026-03-20 12:44:13.883101,,,block_start
2026-03-20 12:44:15.681391,,,start
2026-03-20 12:44:15.683490,,,start
2026-03-20 12:44:28.699072,,,exit
2026-03-20 12:44:30.292902,,,block_end
2026-03-20 12:45:44.555300,,,block_start
2026-03-20 12:45:48.893512,,,start
2026-03-20 12:45:48.895589,,,exit
2026-03-20 12:45:59.006786,,,block_end
2026-03-20 12:53:54.575476,,,block_start
2026-03-20 12:53:57.265728,,,start
2026-03-20 12:54:16.381059,,,exit
2026-03-20 12:54:17.972382,,,block_end
2026-03-20 12:55:19.216324,,,block_start
2026-03-20 12:55:21.448054,,,start
2026-03-20 12:55:21.450146,,,start
2026-03-20 12:56:13.668016,,,drink
2026-03-20 12:56:38.754836,,,start
2026-03-20 12:57:11.887734,,,exit
2026-03-20 12:57:13.481316,,,block_end
2026-03-20 12:58:46.785457,,,block_start
2026-03-20 12:58:48.675820,,,start
2026-03-20 12:59:36.883999,,,exit
2026-03-20 12:59:38.474407,,,block_end
2026-03-20 13:01:29.310729,,,block_start
2026-03-20 13:01:30.856449,,,start
2026-03-20 13:01:30.858550,,,start
2026-03-20 16:10:21.171818,,,exit
2026-03-20 16:10:27.771891,,,block_end
2026-03-23 12:16:52.203454,,,initialize
2026-03-23 12:19:48.139367,,,block_start
2026-03-23 12:19:50.508955,,,start
2026-03-23 12:19:50.510524,,,start
2026-03-23 12:21:29.694332,,,drink
