Date_Time,amount_consumed,latency_to_consumption,Type
2026-03-19 13:09:45.332865,,,initialize
2026-03-20 12:16:04.126192,,,initialize
2026-03-20 12:24:01.885281,,,initialize
2026-03-23 12:16:52.199372,,,initialize
2026-03-23 12:58:09.460192,,,initialize
2026-03-24 12:22:49.780730,,,initialize
2026-03-24 13:02:13.369639,,,initialize
2026-03-25 12:21:11.260987,,,initialize
2026-03-25 13:35:30.761962,,,initialize
2026-03-26 12:18:33.698622,,,initialize
2026-03-26 13:15:26.205658,,,initialize
2026-03-26 18:26:22.068635,,,initialize
2026-03-30 14:11:46.536072,,,initialize
2026-03-30 15:23:58.650981,,,initialize
2026-04-01 12:58:56.136986,,,initialize
2026-04-03 12:44:21.274411,,,initialize
2026-04-03 13:55:31.948589,,,initialize
2026-04-03 14:54:45.522755,,,initialize
2026-04-03 15:06:54.382707,,,initialize
2026-04-03 15:29:28.201596,,,initialize
2026-04-06 12:48:43.402667,,,initialize
2026-04-06 14:09:42.985866,,,initialize
2026-04-06 14:52:43.143695,,,initialize
2026-04-07 16:13:04.738312,,,initialize
2026-04-07 16:15:21.116374,,,block_start
2026-04-07 16:15:23.497670,,,start
2026-04-07 16:15:27.104417,,,drink
2026-04-07 16:15:29.215046,,,start
2026-04-07 16:15:34.577195,,,exit
2026-04-07 16:15:38.671439,,,block_end
2026-04-08 13:31:04.241147,,,initialize
2026-04-08 14:42:14.626409,,,initialize
2026-04-10 12:50:56.223213,,,initialize
2026-04-10 13:00:28.282048,,,initialize
2026-04-10 13:03:43.404205,,,initialize
2026-04-10 13:31:24.653122,,,initialize
2026-04-10 16:12:12.355979,,,block_start
2026-04-10 16:12:14.727121,,,start
2026-04-10 16:12:14.731357,,,start
2026-04-10 16:12:18.184567,,,drink
2026-04-10 16:12:20.769521,,,start
2026-04-10 16:12:23.384277,,,drink
2026-04-10 16:12:25.538648,,,start
2026-04-10 16:12:27.667981,,,drink
2026-04-10 16:12:30.068415,,,start
2026-04-10 16:12:32.340212,,,drink
2026-04-10 16:12:34.337842,,,start
2026-04-10 16:12:37.196815,,,exit
2026-04-10 16:12:38.791290,,,block_end
2026-04-11 13:38:27.380717,,,initialize
2026-04-11 13:38:56.029587,,,block_start
2026-04-11 13:38:57.930564,,,start
2026-04-11 13:39:07.947693,,,drink
2026-04-11 13:39:11.897279,,,start
2026-04-11 13:40:13.445838,,,eat
2026-04-11 13:40:13.447299,,,start
2026-04-11 13:40:13.449298,,,eat
2026-04-11 13:40:13.450527,,,start
2026-04-11 13:40:13.452331,,,eat
2026-04-11 13:40:13.453657,,,start
2026-04-11 13:40:13.455311,,,eat
2026-04-11 13:40:13.456783,,,start
2026-04-11 13:40:13.458397,,,eat
2026-04-11 13:40:13.459890,,,start
2026-04-11 13:40:13.461296,,,eat
2026-04-11 13:40:13.462809,,,start
2026-04-11 13:40:13.464306,,,eat
2026-04-11 13:40:13.465495,,,start
2026-04-11 13:40:13.467314,,,eat
2026-04-11 13:40:13.468378,,,start
2026-04-11 13:40:13.469481,,,eat
2026-04-11 13:40:13.470509,,,start
2026-04-11 13:40:13.472309,,,eat
2026-04-11 13:40:13.473323,,,start
2026-04-11 13:40:13.474370,,,eat
2026-04-11 13:40:13.476143,,,start
2026-04-11 13:40:13.478344,,,eat
2026-04-11 13:40:13.479627,,,start
2026-04-11 13:40:13.481325,,,eat
2026-04-11 13:40:13.482894,,,start
2026-04-11 13:40:13.484480,,,eat
2026-04-11 13:40:13.485847,,,start
2026-04-11 13:40:13.487288,,,eat
2026-04-11 13:40:13.488354,,,start
2026-04-11 13:40:13.489464,,,eat
2026-04-11 13:40:13.490505,,,start
2026-04-11 13:40:13.492310,,,eat
2026-04-11 13:40:13.493656,,,start
2026-04-11 13:40:13.496011,,,eat
2026-04-11 13:40:13.497508,,,start
2026-04-11 13:40:13.499351,,,eat
2026-04-11 13:40:13.500616,,,start
2026-04-11 13:40:13.502312,,,eat
2026-04-11 13:40:13.503338,,,start
2026-04-11 13:40:13.505321,,,eat
2026-04-11 13:40:13.507150,,,start
2026-04-11 13:40:13.508500,,,eat
2026-04-11 13:40:13.509882,,,start
2026-04-11 13:40:13.511437,,,eat
2026-04-11 13:40:13.513064,,,start
2026-04-11 13:40:13.515308,,,eat
2026-04-11 13:40:13.516767,,,start
2026-04-11 13:40:13.518323,,,eat
2026-04-11 13:40:13.519379,,,start
2026-04-11 13:40:13.520452,,,eat
2026-04-11 13:40:13.521502,,,start
2026-04-11 13:40:13.523310,,,eat
2026-04-11 13:40:13.524290,,,start
2026-04-11 13:40:13.525379,,,eat
2026-04-11 13:40:13.526703,,,start
2026-04-11 13:40:13.528710,,,eat
2026-04-11 13:40:13.530282,,,start
2026-04-11 13:40:13.532341,,,eat
2026-04-11 13:40:13.533575,,,start
2026-04-11 13:40:13.535316,,,eat
2026-04-11 13:40:13.536323,,,start
2026-04-11 13:40:13.538325,,,eat
2026-04-11 13:40:13.539497,,,start
2026-04-11 13:40:13.541287,,,eat
2026-04-11 13:40:13.542309,,,start
2026-04-11 13:40:13.544349,,,eat
