m,w,Date_Time
24.51306458759096,"[21.887185708751556, 25.16835270674965, 23.504485152717887, 22.842672858736826, 23.238095845637442, 24.29640399082324, 25.886504874863427, 25.876269169475446, 26.138019063348867, 26.292656504805272]",2026-04-07 16:15:21.114171
25.8053354411734,"[22.601452368304457, 22.900520542161825, 24.502857878535522, 24.705687224679824, 25.46344838304851, 29.68632927307354, 28.722172219657658, 28.13200986339248, 26.300282540264305, 25.03859411861588]",2026-04-10 16:12:12.354090
26.24825442078086,"[26.599959637105098, 25.65920262405211, 25.582594313471233, 24.768348299307103, 25.008379940105176, 26.339717552523958, 27.641768869073438, 26.994106785373788, 26.95342493081475, 26.935041255981943]",2026-04-11 13:38:56.028020
23.18262586148104,"[22.223572162592873, 21.124466177517867, 21.381605654516818, 21.3207713488398, 21.962721155028312, 24.02699906515824, 24.549599966596226, 24.901557451013595, 25.130367511117193, 25.204598122429474]",2026-04-12 13:07:32.284301
30.295626309184414,"[39.37545379260431, 44.31831361969338, 31.721842821319957, 29.35313241581205, 28.624715545977743, 27.84700491081888, 27.0122294932137, 25.191085831464036, 24.4847931633607, 25.027691497579386]",2026-04-12 13:09:30.604097
20.78448997770762,"[20.869443432794622, 21.210817255833483, 19.283923969296364, 23.04341446893797, 21.99792270273656, 20.364182338217862, 18.991553948256623, 19.436560663807242, 20.497246508261636, 22.149834488933838]",2026-04-13 14:00:03.816265
23.34035431198662,"[22.429272145659017, 22.889153979804636, 23.158790876129988, 23.41648128344727, 23.509472521915427, 23.529508987703235, 23.635026641830343, 23.582108334937796, 23.64735008316148, 23.60637826527701]",2026-04-16 12:12:17.244349
19.904213515074613,"[19.225815318878468, 19.554575737260752, 19.719158920779698, 19.8166735871247, 19.854368819431716, 19.986650088496805, 20.07390005312128, 20.236685464022507, 20.28589224034944, 20.288414921280758]",2026-04-16 12:13:29.446185
26.18591810507807,"[23.479577303062708, 22.919745110638406, 26.618488293600624, 28.772045911633096, 27.59818738126002, 24.099402907520254, 28.5977779530445, 28.403705499328446, 27.345600328470454, 24.02465036222219]",2026-04-16 12:19:02.472932
23.334592740710157,"[21.917225909266996, 21.675686459176646, 22.849602982214808, 23.55305400972885, 23.70511077758885, 23.853716981876133, 23.91350741958157, 23.934964705664026, 23.97492165190947, 23.968136510094205]",2026-04-16 12:19:57.380089
