Date_Time,amount_consumed,latency_to_consumption,Type
2026-03-02 16:29:37.990085,,,initialize
2026-03-04 20:10:37.196073,,,initialize
2026-03-04 20:37:49.899090,,,initialize
2026-03-09 14:59:22.385376,,,initialize
2026-03-13 13:42:36.237459,,,initialize
2026-03-13 14:08:23.197057,,,initialize
2026-03-13 14:23:28.766939,,,initialize
2026-03-13 15:14:24.810304,,,initialize
2026-03-13 15:19:43.993989,,,initialize
2026-03-13 15:24:51.256689,,,initialize
2026-03-13 18:24:18.997605,,,initialize
2026-03-16 12:43:06.476390,,,initialize
2026-03-16 12:55:50.840548,,,initialize
2026-03-16 13:33:28.912693,,,initialize
2026-03-16 13:37:56.191219,,,initialize
2026-03-16 13:57:19.915538,,,initialize
2026-03-17 09:28:51.398092,,,initialize
2026-03-17 12:34:06.778846,,,initialize
2026-03-17 13:25:44.910309,,,initialize
