Date_Time,amount_consumed,latency_to_consumption,Type
2026-03-02 16:29:37.991977,,,initialize
2026-03-02 16:40:19.357864,,,block_start
2026-03-02 16:45:07.107890,,,start
2026-03-02 16:48:14.971890,,,drink
2026-03-02 16:57:12.930787,,,start
2026-03-02 16:57:12.981859,,,exit
2026-03-02 16:57:20.589269,,,block_end
2026-03-04 20:10:37.198045,,,initialize
2026-03-04 20:37:49.900926,,,initialize
2026-03-09 14:59:22.387141,,,initialize
2026-03-13 13:42:36.238728,,,initialize
2026-03-13 14:08:23.198682,,,initialize
2026-03-13 14:23:28.768500,,,initialize
2026-03-13 15:14:24.812222,,,initialize
