m,w,Date_Time
26.311161964234763,"[28.574116945688708, 28.372331467515988, 25.970710224570798, 26.998833187578434, 27.09684079157668, 25.620666498101322, 25.916893031369394, 24.718561596329295, 25.84069066944413, 24.001975230172885]",2026-05-11 13:05:00.169196
23.485901403190525,"[24.758112593919122, 26.05253787500957, 22.601162404979018, 22.844876580010162, 21.799645780801644, 22.767514364783143, 23.460004778595604, 23.492016729724025, 23.976110501543765, 23.1070324225392]",2026-05-11 13:09:10.082090
25.944190178826183,"[27.643856605016598, 26.68326610050361, 27.666560733398438, 26.450222575848606, 25.496417213150878, 23.91289849659815, 24.785572120838157, 25.45944688915746, 25.639572106919918, 25.70408894683]",2026-05-11 13:13:01.368661
24.051901115546904,"[27.017071880748524, 24.513470536246572, 25.035607496363863, 26.655748580919486, 23.214985768599988, 22.136786139289104, 22.845949444314286, 22.238882226176035, 24.23481578050008, 22.625693302311124]",2026-05-11 13:18:22.051174
23.176185776023047,"[26.266298838522903, 24.09806907622324, 24.126804441774205, 22.693689702126473, 22.63172453948025, 21.61412724518603, 21.94949882738831, 22.310445174894276, 23.391776408119902, 22.679423506514897]",2026-05-11 13:23:00.310201
24.510779676586505,"[27.450915008269757, 25.12671397321667, 24.07550992950412, 26.861738527311065, 24.721693200244033, 24.834691908167454, 22.703954403847003, 22.546156362143318, 22.96854593830972, 23.817877514851922]",2026-05-11 13:33:22.340419
23.397537979396365,"[23.665269816673586, 19.442765878971628, 16.176416006903445, 24.061156744894905, 27.370914126781244, 24.64337410604307, 25.098790504976932, 24.604750991094644, 24.42868525988833, 24.483256357735875]",2026-05-11 13:40:22.509248
24.044704225809518,"[26.959166204658437, 24.717488732025174, 25.02824242789772, 24.25870875851622, 24.355846472538154, 23.522462878895077, 22.674523126314984, 23.16032768175481, 23.669387295894815, 22.1008886795998]",2026-05-11 13:47:39.907468
22.416510859706463,"[25.566153392918864, 23.732918260498412, 21.44374479515831, 24.411113482366748, 21.505188023818747, 20.803592761587513, 22.548418076081738, 21.43585779270638, 21.65304032345989, 21.06508168846804]",2026-05-11 14:02:15.971864
19.893708143793972,"[22.127420323877438, 20.625207323777687, 15.366258475628003, 19.064972662257677, 20.184637047106282, 19.378075061066276, 20.014602553069086, 21.015787923143478, 20.381348167083825, 20.77877190092997]",2026-05-11 14:11:32.225967
25.472625722298645,"[29.259967199348626, 27.302569770975367, 26.88368875104677, 25.628350526225443, 26.05111705471492, 25.040188916905787, 23.3008729055949, 25.25682051734097, 22.216439064787085, 23.78624251604657]",2026-05-11 14:32:33.134521
22.867052975139707,"[25.369993203259654, 25.131585357084038, 23.296262488720426, 25.976828450737553, 24.261405417442802, 21.702653048442432, 19.36734641802505, 22.146325932696033, 21.220299056575325, 20.197830378413737]",2026-05-11 14:43:21.896136
22.51163042898334,"[24.512049715951928, 22.215308207817873, 20.944949882738833, 22.847660227934373, 22.47323058579551, 21.92372108775682, 22.7051432534813, 22.11234223095463, 22.881266977352702, 22.500632120049456]",2026-05-11 14:57:05.609350
23.328932656597594,"[24.633167396987627, 23.212028142680513, 21.15534727167708, 23.529190028045253, 27.70312510873625, 22.98556678551297, 20.578233265056635, 23.778413506259728, 23.712823802045516, 22.001431258974364]",2026-05-11 15:13:17.332019
21.928024143506327,"[24.485344093679032, 21.759833816218926, 19.391442370368996, 24.58862903020026, 22.785898039615947, 20.710079589133567, 21.76221151548752, 20.692478815279443, 21.516699567838657, 21.58762459724094]",2026-05-11 15:32:52.537378
23.922533977902475,"[26.552028699410098, 24.662888637845086, 24.614000821176138, 25.59001737460246, 26.39614441565431, 26.563888199420536, 21.830845834618838, 20.66954271623725, 23.262017819986127, 19.083965260073906]",2026-05-11 15:48:33.647860
