Date_Time,amount_consumed,latency_to_consumption,Type,Frame
2026-08-27 14:00:39.301122,,,initialize,0
2026-08-27 14:02:10.077765,,,block_start,0
2026-08-27 14:02:41.039036,,,start,166
2026-08-27 14:02:41.041448,,,start,166
2026-08-27 14:02:43.949995,,,drink,195
2026-08-27 14:02:48.553343,,,start,241
2026-08-27 14:03:34.194954,,,start,694
2026-08-27 14:04:14.963269,,,eat,1099
2026-08-27 14:04:59.064775,,,start,1537
2026-08-27 14:05:12.540241,,,eat,1670
2026-08-27 14:06:24.821462,,,start,2388
2026-08-27 14:06:34.499094,,,exit beam,2484
2026-08-27 14:06:36.589383,,,exit,2505
2026-08-27 14:06:39.088316,,,block_end,2530
2026-08-27 14:07:07.445511,,,imaging_stop,2803
2026-08-27 14:12:46.453979,,,block_start,0
2026-08-27 14:13:09.497692,,,start,214
2026-08-27 14:13:09.499277,,,start,214
2026-08-27 14:13:15.646177,,,eat,275
2026-08-27 14:14:45.190895,,,start,1164
2026-08-27 14:15:08.328740,,,eat,1393
2026-08-27 14:18:35.302466,,,start,3449
2026-08-27 14:18:41.671462,,,drink,3512
2026-08-27 14:18:45.992514,,,start,3555
2026-08-27 14:21:17.258798,,,start,5057
2026-08-27 14:23:07.271364,,,eat,6149
2026-08-27 14:25:32.436049,,,start,7591
2026-08-27 14:26:48.502020,,,eat,8346
2026-08-27 14:30:46.492181,,,start,10709
2026-08-27 14:30:52.907401,,,eat,10773
2026-08-27 14:32:00.172550,,,start,11441
2026-08-27 14:32:01.341964,,,exit beam,11453
2026-08-27 14:32:03.431375,,,exit,11473
2026-08-27 14:32:05.427867,,,block_end,11493
2026-08-27 14:32:57.729511,,,imaging_stop,12004
2026-08-27 14:44:17.521349,,,block_start,0
2026-08-27 14:44:33.979553,,,start,134
2026-08-27 14:44:33.981002,,,start,134
2026-08-27 14:44:37.577343,,,eat,170
2026-08-27 14:47:33.582465,,,start,1917
2026-08-27 14:47:48.486615,,,eat,2065
2026-08-27 14:49:21.838183,,,start,2992
2026-08-27 14:49:35.995656,,,eat,3133
2026-08-27 14:52:44.532245,,,start,5005
2026-08-27 14:54:01.146589,,,start,5766
2026-08-27 14:54:08.238756,,,exit beam,5836
2026-08-27 14:54:10.320996,,,exit,5857
2026-08-27 14:54:11.826877,,,block_end,5872
2026-08-27 14:54:36.650511,,,imaging_stop,6109
2026-08-27 14:57:50.058717,,,initialize,0
2026-08-27 14:58:26.224684,,,block_start,0
2026-08-27 14:58:36.342446,,,start,92
2026-08-27 14:58:42.915430,,,eat,157
2026-08-27 15:01:01.639175,,,start,1534
2026-08-27 15:01:18.356590,,,eat,1700
2026-08-27 15:02:24.244719,,,start,2355
